,level_0,Population Rank,State,Population in 2021,Population in 2020,Total Size Rank,total_size,Land Size Rank,land area,Water Area Rank,water area,Population Density Rank,Population Density,percent_land_area,index,Solar Potential Rank,Sun Index,State Abbreviation,Average Income,2019_BEV_Sales,2019_BEV_Market_Share,2019_PHEV_Sales,2019_PHEV_Market_Share,EV_BEV_PHEV_Share,EV_BEV_PHEV_Sales,income_rank,Sun Index Tier,population density tier,Charging Station Count,EV_station_availability,EV_sales,party_score,state_party_aff_color,income log
0,0.0,24.0,Alabama,5039877.0,5024279.0,30.0,52420.07,28.0,50645.33,23.0,1774.74,28.0,99.513,0.9661438834400641,18.0,13.0,0.89,AL,80098.86,722,0.0037,285,0.0015,0.0052,1007,b.<100K,b.<0.9,b.<100,319,0.31678252234359483,100.7,0.0,0,11.291016900745435
2,2.0,14.0,Arizona,7276316.0,7151502.0,6.0,113990.3,6.0,113594.08,48.0,396.22,33.0,64.055,0.9965240902076755,1.0,2.0,1.18,AZ,93563.15,6637,0.022000000000000002,954,0.0032,0.0252,7591,b.<100K,d.1+,b.<100,958,0.12620208141219866,759.1,0.66,2,11.44639188836564
3,3.0,33.0,Arkansas,3025891.0,3011524.0,29.0,53178.55,27.0,52035.48,31.0,1143.07,35.0,58.15,0.9785050551397133,15.0,11.0,0.91,AR,73595.58,370,0.0031,168,0.0014000000000000002,0.0045000000000000005,538,a.< 80K,c.<1.0,b.<100,205,0.38104089219330856,53.8,0.0,0,11.206340248565807
4,4.0,1.0,California,39237836.0,39538223.0,3.0,163694.74,3.0,155779.22,6.0,7915.52,12.0,251.881,0.9516446282879951,3.0,4.0,1.0,CA,109260.14,100549,0.0516,44471,0.0228,0.07440000000000001,145020,c.<120K,d.1+,d.200+,15474,0.10670252378982209,14502.0,1.0,3,11.601486923296132
5,5.0,21.0,Colorado,5812069.0,5773714.0,8.0,104093.67,8.0,103641.89,44.0,451.78,38.0,56.078,0.995659870576184,4.0,5.0,0.99,CO,111730.73,7124,0.0225,1883,0.006,0.0285,9007,c.<120K,c.<1.0,b.<100,1789,0.19862329299433773,900.7,1.0,3,11.623847059127844
6,6.0,29.0,Connecticut,3605597.0,3605944.0,48.0,5543.41,48.0,4842.36,38.0,701.06,5.0,744.594,0.8735345211701823,40.0,21.0,0.79,CT,112717.99,2383,0.014100000000000001,927,0.0055000000000000005,0.0196,3310,c.<120K,a.<0.8,d.200+,564,0.17039274924471298,331.0,1.0,3,11.632644314617973
7,7.0,45.0,Delaware,1003384.0,989948.0,49.0,2488.72,49.0,1948.54,40.0,540.18,7.0,514.941,0.782948664373654,28.0,17.0,0.84,DE,88015.52,579,0.0125,243,0.0052,0.0177,822,b.<100K,b.<0.9,d.200+,133,0.16180048661800486,82.2,1.0,3,11.385268441546469
8,8.0,49.0,District of Columbia,670050.0,689545.0,51.0,68.34,51.0,61.05,51.0,7.29,1.0,10975.429,0.8933274802458296,,,0.855,DC,134879.54,726,0.0387,289,0.0154,0.0541,1015,d.120K+,b.<0.9,d.200+,310,0.3054187192118227,101.5,1.0,3,11.812137362790958
9,9.0,3.0,Florida,21781128.0,21538187.0,22.0,65757.7,26.0,53924.76,3.0,12132.94,9.0,403.917,0.8200524045092819,8.0,8.0,0.95,FL,80986.36,13137,0.0108,2657,0.0022,0.013000000000000001,15794,b.<100K,c.<1.0,d.200+,2924,0.18513359503608964,1579.4,0.0,0,11.302036024412807
10,10.0,8.0,Georgia,10799566.0,10711908.0,24.0,59425.15,21.0,57513.49,22.0,1911.66,18.0,187.774,0.9678307921814248,13.0,10.0,0.92,GA,89679.25,4227,0.01,911,0.0021,0.0121,5138,b.<100K,c.<1.0,c.<200,1639,0.3189957181782795,513.8,0.5800000000000001,2,11.403994694642382
12,12.0,38.0,Idaho,1900923.0,1839106.0,14.0,83568.95,11.0,82643.12,33.0,925.83,45.0,23.001,0.9889213637361723,11.0,9.0,0.93,ID,86823.7,383,0.006500000000000001,155,0.0026,0.0091,538,b.<100K,c.<1.0,a.<50,151,0.28066914498141265,53.8,0.0,0,11.371634904854057
13,13.0,6.0,Illinois,12671469.0,12702379.0,25.0,57913.55,24.0,55518.93,19.0,2394.62,13.0,228.236,0.9586518180978372,41.0,21.0,0.79,IL,105406.38,6321,0.011000000000000001,1309,0.0023,0.013300000000000001,7630,c.<120K,a.<0.8,d.200+,1144,0.14993446920052425,763.0,1.0,3,11.565578444566752
14,14.0,17.0,Indiana,6805985.0,6785528.0,38.0,36419.55,38.0,35826.11,39.0,593.44,17.0,189.972,0.9837054548999095,35.0,18.0,0.83,IN,93692.11,1751,0.0075,456,0.0019,0.0094,2207,b.<100K,b.<0.9,c.<200,391,0.1771635704576348,220.7,0.0,0,11.447769259771796
15,15.0,31.0,Iowa,3193079.0,3190369.0,26.0,56272.81,23.0,55869.36,45.0,415.68,37.0,57.152,0.9928304628825183,20.0,14.0,0.87,IA,89448.32,502,0.0045000000000000005,251,0.0023,0.0068000000000000005,753,b.<100K,b.<0.9,b.<100,305,0.4050464807436919,75.3,0.0,0,11.401416307318346
16,16.0,35.0,Kansas,2934582.0,2937880.0,15.0,82278.36,13.0,81758.72,42.0,519.64,42.0,35.893,0.9936843660957754,9.0,8.0,0.95,KS,92077.32,657,0.0077,190,0.0022,0.009899999999999999,847,b.<100K,c.<1.0,a.<50,500,0.5903187721369539,84.7,0.14,0,11.430383937846225
