Date Of Death Year,Date Of Death Month,HHSRegion,AgeGroup,AllCause,NaturalCause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",AnalysisDate,Note,flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
2019,1,United States,0-4 years,"2,022","1,764",17,23,,0,31,,27,,217,34,,0,0,08/25/2021,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
2021,5,7,85 years and over,"3,373","3,241",31,397,64,228,54,148,66,63,41,970,185,96,65,08/25/2021,,,,,,,,,,,,,,,,
2019,1,United States,15-24 years,"2,340",626,,123,31,0,18,11,14,,38,71,18,0,0,08/25/2021,,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
2019,1,United States,25-34 years,"4,616","1,623",31,268,82,0,55,24,29,27,66,285,46,0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,1,United States,35-44 years,"7,023","4,153",80,955,224,0,120,64,53,70,82,886,131,0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,1,United States,45-54 years,"14,399","11,455",185,"3,158",628,13,285,352,149,221,120,"2,750",479,0,0,08/25/2021,,,,,,,,,,,,,,,,
2020,10,5,75-84 years,"11,991","11,640",143,"2,444",356,570,180,678,181,215,89,"2,479",685,"1,451","1,267",08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,10,5,85 years and over,"15,371","14,861",144,"1,570",270,"1,274",183,558,169,260,186,"3,767","1,053","2,054","1,736",08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2021,6,4,75-84 years,"12,332","11,874",180,"2,703",382,573,183,812,230,263,173,"2,744",743,433,350,08/25/2021,,,,,,,,,,,,,,,,
2019,1,United States,5-14 years,473,269,,68,,0,,13,,0,,11,10,0,0,08/25/2021,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
2019,1,United States,55-64 years,"33,974","30,925",550,"9,864","1,452",97,655,"1,795",445,528,285,"7,490","1,162",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,1,United States,65-74 years,"49,899","47,776",802,"14,731","2,097",667,991,"3,785",932,"1,038",332,"11,389","2,048",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,1,United States,75-84 years,"62,621","60,673",943,"14,009","2,058","2,962","1,360","4,980","1,256","1,309",491,"14,575","3,635",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,1,United States,85 years and over,"80,880","78,435",967,"8,982","1,652","7,229","2,212","4,313","1,216","1,550","1,069","23,371","5,934",0,0,08/25/2021,,,,,,,,,,,,,,,,
2021,6,4,85 years and over,"12,400","11,941",110,"1,465",229,991,150,597,171,220,225,"3,405","1,126",299,209,08/25/2021,,,,,,,,,,,,,,,,
2019,2,United States,0-4 years,"1,949","1,728",18,38,0,0,33,,16,,191,38,16,0,0,08/25/2021,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,
2019,2,United States,15-24 years,"2,120",521,,113,21,0,20,12,10,,27,83,17,0,0,08/25/2021,,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
